Title: ASS_v5
        Date: 31.04.05.20.2021
        User/s: Default
        Viscosity: 50
        Seconds per drop: 2
        Notes: self.add_notes(0)
        TotalTime	TimeSinceDrop	Frame	MovingPixelAvg	MovingPixels	Voltage
        101.39663195610046	102.1960301399231	146	474.66	13200	301
101.96843791007996	0.5688464641571045	152	432.07272727272726	12650	4055
102.60835480690002	0.6370022296905518	159	396.9	11550	149.48862409591675
104.07668256759644	1.4653198719024658	175	338.1081081081081	10500	152.89971446990967
104.44014859199524	0.3605177402496338	179	333.88157894736844	9500	194.31249713897705
104.90023899078369	0.45717883110046387	184	322.24050632911394	8550	139.0722713470459
107.21174049377441	2.308534860610962	209	248.9126213592233	1609	143.9068636894226
111.5170590877533	4.302311420440674	256	188.61744966442953	1881	236.47616720199585
115.81742548942566	4.297211647033691	303	155.12307692307692	1633	336.16839265823364
120.02988958358765	4.209231376647949	349	131.2	1781	335.92035388946533
124.23423624038696	4.201191663742065	399	113.93425605536332	962	331.5138063430786
128.39465236663818	4.157419443130493	448	99.59643916913947	565	331.1086974143982
132.60754442214966	4.209835529327393	494	89.57217847769029	781	328.92192220687866
136.76785159111023	4.157200336456299	544	80.45348837209302	852	331.545814037323
140.84849286079407	4.076843500137329	593	73.79916317991632	377	328.94187784194946
144.98928928375244	4.137476205825806	641	69.00190839694656	799	324.8923501968384
149.10625958442688	4.1119160652160645	686	65.42151675485009	919	327.9004774093628
153.14300799369812	4.03359580039978	731	61.723404255319146	489	326.6503176689148
157.21898865699768	4.073012590408325	780	57.928679817905916	803	322.7271161079407
161.22060012817383	3.998309850692749	828	54.5014164305949	1037	324.6977767944336
165.21136856079102	3.986276626586914	876	52.31382978723404	1219	320.9875545501709
169.22375798225403	4.009343862533569	924	50.65664160401003	1486	320.3445038795471
173.13628029823303	3.910135269165039	971	48.69039145907473	794	321.4856824874878
177.129168510437	3.990478754043579	1019	47.21621621621622	1613	316.52624225616455
180.97398161888123	3.8416268825531006	1065	46.087982832618025	304	320.5418310165405
181.35852432250977	0.3814575672149658	1069	46.087982832618025	352	313.13056564331055
184.98720049858093	3.625591516494751	1108	44.80103092783505	472	140.12126541137695
188.8826403617859	3.8924338817596436	1150	43.48466864490604	568	302.3287019729614
192.72088861465454	3.8356781005859375	1197	42.04824976348155	227	315.64131593704224
204.73409008979797	12.009191513061523	1294	38.87857762359063	527	312.8699383735657
219.7921919822693	15.05512547492981	1450	34.97702909647779	378	721.5061745643616
222.7800271511078	2.984494209289551	1485	34.484328358208955	183	873.8055429458618
228.17756152153015	5.3949713706970215	1557	33.17363571934798	287	270.2453694343567
230.94523978233337	2.7639005184173584	1594	32.62404975812025	232	390.78193521499634
231.3988847732544	0.451249361038208	1600	32.63793103448276	176	259.2136106491089
233.71795320510864	2.3148880004882812	1631	32.1777027027027	272	143.59387969970703
236.48541069030762	2.7649407386779785	1668	31.657425742574258	246	236.76309204101562
239.25835704803467	2.7705845832824707	1705	31.289864428663655	187	259.26518058776855
242.03102779388428	2.7702083587646484	1742	30.812776723592663	190	259.54758739471436
244.14674878120422	2.1131958961486816	1769	30.516531503431068	600	259.5285258293152
247.6236972808838	3.474418878555298	1812	30.035888077858882	161	226.67818880081177
250.39607906341553	2.769956111907959	1849	29.646217986896964	349	294.73934984207153
253.16820240020752	2.7694251537323	1886	29.17980151780502	333	259.5200262069702
255.94295358657837	2.771840810775757	1917	29.10958118187034	430	259.48958015441895
272.4718565940857	16.525786638259888	2098	27.235171696149845	149	259.64556550979614
283.18439769744873	10.70934009552002	2219	25.778648383937316	1105	947.335608959198
283.5327527523041	0.3459773063659668	2224	25.80029368575624	195	656.4849338531494
284.5967700481415	1.0616412162780762	2240	25.94703595724004	171	138.31736660003662
286.33052682876587	1.7310612201690674	2266	25.948631781084973	219	174.10815572738647
286.92916679382324	0.5952773094177246	2275	26.032088122605366	148	207.61352396011353
287.2612040042877	0.3296189308166504	2280	26.061214729794358	229	150.78214025497437
288.393559217453	1.1298959255218506	2297	26.298528713811105	140	137.49892330169678
289.12548303604126	0.7294394969940186	2308	26.317430325932925	269	177.51270151138306
289.5252916812897	0.3972458839416504	2314	26.346698113207548	190	157.49067878723145
289.8572781085968	0.32927560806274414	2319	26.465160075329567	177	140.88028287887573
290.1940538883209	0.3343510627746582	2324	26.549600376116597	281	137.48131608963013
291.3259401321411	1.1293246746063232	2341	26.721755368814193	139	137.7356252670288
291.92299580574036	0.5945734977722168	2350	26.732093023255814	559	177.48419857025146
292.321608543396	0.3955106735229492	2356	26.779275092936803	197	150.78293895721436
292.8539595603943	0.5299460887908936	2364	26.903614457831324	393	140.79339122772217
293.1902027130127	0.33386969566345215	2369	26.93012494215641	208	147.51571035385132
294.7223572731018	1.5297718048095703	2392	27.157123224919836	836	137.7122721672058
295.4546699523926	0.7298364639282227	2403	27.26517571884984	460	197.5064835548401
296.2023973464966	0.7452726364135742	2413	27.17409090909091	175	157.5097165107727
297.5345504283905	1.3297224044799805	2429	27.074943566591422	343	158.28235960006714
300.2788643836975	2.741905689239502	2462	26.76680017801513	278	187.50458574295044
303.1119120121002	2.830683946609497	2496	26.605263157894736	415	258.1138334274292
305.8557312488556	2.7410449981689453	2529	26.33751622674167	337	262.5567874908447
308.6040496826172	2.7458555698394775	2562	26.1733561058924	146	258.07032203674316
311.43243169784546	2.8257694244384766	2596	25.9700800674252	398	258.31051683425903
314.26496052742004	2.830172061920166	2630	25.692883895131086	456	262.30645990371704
317.0941812992096	2.8267531394958496	2664	25.48542094455852	429	262.52653217315674
319.9299294948578	2.8332269191741943	2698	25.24766923388731	348	262.35637283325195
322.75540947914124	2.8219075202941895	2732	25.040432345876702	335	262.68862104415894
325.5877363681793	2.829779863357544	2766	24.91024120205615	285	262.1169648170471
328.41505002975464	2.8242990970611572	2800	24.74482219617038	206	262.5388345718384
328.9157123565674	0.49799084663391113	2806	24.770491803278688	142	262.234028339386
331.32752680778503	2.409398317337036	2835	24.5980694980695	1061	145.91837739944458
334.1602098941803	2.8301782608032227	2869	24.424485125858123	229	241.48990726470947
337.07224011421204	2.909294366836548	2904	24.238418079096046	1007	262.5296196937561
339.90111565589905	2.8265132904052734	2938	24.135094901377002	232	266.4829216003418
342.8135561943054	2.909940719604492	2973	23.925680647534953	322	262.34483337402344
343.3132908344269	0.49707531929016113	2979	23.91985294117647	131	266.5172896385193
345.8096601963043	2.4939870834350586	3009	23.8391557496361	838	145.87201690673828
346.2295923233032	0.41747617721557617	3014	23.854234823700473	130	245.71774816513062
348.7262706756592	2.4942078590393066	3044	23.680575539568345	732	141.8918571472168
351.6384563446045	2.9093801975250244	3079	23.60384068278805	553	245.7313141822815
354.5550072193146	2.914104461669922	3114	23.394376098418277	213	266.4872965812683
357.5518560409546	2.9931588172912598	3150	23.259993048314215	405	266.7323908805847
360.5444233417511	2.9890573024749756	3186	23.09103400893164	430	270.68515634536743
363.5417413711548	2.994825601577759	3222	22.893002717391305	400	270.47121143341064
